# Fig 4b 用数据：拉伸模量与断裂伸长率的文献区间
#
# !!! 数值是教科书量级的常见区间。2026-08-29：de Beukelaer [11] 全文已核对，PBS/PET/LDPE/PP/PHB
#     的注塑件拉伸数据落在本表区间内（[11] Table 3）；PHB 下限按 [11] 的 1.6% 从 2 调到 1.5。
#     PLA 行指向 [42]/[43]（高结晶 PLLA），天然橡胶指向 [10]（SIC 机理，非数值本身）。
#     2026-08-30 核实：[11] 没测纤维素/壳聚糖/丝素/天然橡胶，这四行的 ref 去掉 [11]，只留各自文献。
#     热塑性淀粉：[11] 测的是商用 TPS 共混料（E ~1.4 GPa、ε ~6%），本表区间是更宽的甘油增塑
#     流延膜文献范围，两者试样形态不同。
#     生物聚合物力学数据分散度大，取值时注意：
#     - 试样形态（纤维 / 流延膜 / 注塑件）差别可达一个数量级；
#     - 含水量与增塑剂含量必须随数据一起报告，尤其淀粉和壳聚糖；
#     - 结晶度与热历史（退火、拉伸取向）同样决定数值。
#     所以图上画的是区间椭圆而不是单点——单点会假装这类材料有确定值。
#
# label_pos 只影响标注位置，不是数据。
material,class,E_min_GPa,E_max_GPa,eps_min_pct,eps_max_pct,form,label_pos,ref
Cellulose (Lyocell fibre),polysaccharide,10,30,8,15,regenerated fibre,above,[36]
Thermoplastic starch,polysaccharide,0.02,1.0,20,100,glycerol-plasticised film,below,[11]
Chitosan film,polysaccharide,1.0,4.0,3,30,solvent-cast film,right,[39]
Silk fibroin fibre,protein,5,17,15,30,degummed fibre,right,[8]
PHB,polyester,1.5,4.0,1.5,8,injection moulded,left,"[11,43] -- [11] Table 3: E 3.5 GPa, eps_break 1.6%"
PHBV,polyester,0.8,2.5,5,25,injection moulded,below,[11]
PLLA,polyester,2.5,4.0,3,10,injection moulded,above,"[42,43]"
PBS,polyester,0.3,0.7,200,500,film,above,[12]
Natural rubber,other,0.001,0.005,500,800,vulcanised,above,[10]
LDPE,petro,0.15,0.35,200,600,film,below,[11]
PP,petro,1.1,1.6,100,600,injection moulded,right,[11]
PET,petro,2.0,4.0,50,300,injection moulded,right,[11]
